,document,word1,word2,word3,word4,word5,class
231,Intuitionism in the Philosophy of Mathematics_5 Metamathematics.txt,intuitionistic-19,theory-19,mathematics-15,axioms-15,sequences-14,mathematics
232,Intuitionism in the Philosophy of Mathematics_6 Philosophy.txt,mathematics-10,mathematical-10,one-10,meaning-9,brouwer-8,mathematics
233,Luitzen Egbertus Jan Brouwer_3 Brief Characterisation of Brouwers Intuitionism.txt,brouwer-5,mathematics-4,philosophy-3,activity-3,classical-3,mathematics
234,Propositions_2 Roles for Propositions Modality.txt,propositions-17,sense-13,thought-12,false-10,frege-9,language
235,Skepticism_1 Knowledge Justification and Skepticism.txt,know-13,skepticism-12,even-11,proposition-9,justified-9,language
236,Russells Logical Atomism_2 Origins and Development of Russells Logical Atomism.txt,russell-67,proposition-57,propositions-32,relation-31,class-27,language
237,Moral Cognitivism vs  Non Cognitivism_2 Principal Varieties in More Detail.txt,moral-80,sentences-31,judgments-31,express-28,one-26,language
238,Model Theory_1 Basic notions of model theory.txt,model-13,sentence-8,theory-8,true-7,interpretation-7,language
239,Propositions_Sparse and Abundant Conceptions of Propositions.txt,propositions-15,true-12,facts-10,fact-10,proposition-8,language
240,Willard Van Orman Quine_3 The AnalyticSynthetic Distinction and the Argument Against Logical Empiricism.txt,quine-31,language-28,sentences-22,experience-20,analytic-18,language
241,The Identity Theory of Truth_4 Identity sense and reference.txt,entities-31,level-28,propositions-25,sense-21,reference-19,language
242,Religious Language_3 The Use of Religious Language.txt,religious-75,god-42,speakers-23,discourse-22,however-18,language
243,Structured Propositions_5 Historical Antecedents to Current Views Russell.txt,russell-18,constituents-17,propositions-15,proposition-10,difference-7,language
244,Medieval Theories of the Syllogism_3 Arabic Logic and Syllogisms.txt,sentences-30,logic-25,avicenna-17,absolute-15,arabic-14,language
245,The Correspondence Theory of Truth_8 The Correspondence Theory and Its Competitors.txt,truth-44,correspondence-41,theory-31,true-28,propositions-17,language
246,Bernard Bolzano_11 Philosophy of Mathematics.txt,true-21,bolzano-16,propositions-11,proposition-7,infinite-6,language
247,Aristotles Logic_12 Time and Necessity The SeaBattle.txt,aristotle-7,true-6,must-4,propositions-4,one-4,language
248,Wittgensteins Logical Atomism_1 Names and Objects.txt,propositions-9,names-8,tractatus-7,particulars-6,objects-6,language
249,Medieval Theories of the Syllogism_7 William of Ockham.txt,sentences-20,ockham-18,modal-17,sentence-13,divided-12,language
250,Bertrand Russell_4 Russells Theory of Definite Descriptions.txt,logical-10,russell-9,sentence-9,true-8,king-8,language
251,Second order and Higher order Logic_10 Categoricity.txt,categoricity-24,secondorder-16,models-9,sentence-9,categorical-8,language
252,Gertrude Elizabeth Margaret Anscombe_3 Metaphysics.txt,causation-8,work-5,language-5,effect-4,account-4,language
253,Tarskis Truth Definitions_2 Some kinds of truth definition on the 1933 pattern.txt,definition-26,truth-23,formulas-19,satisfaction-18,language-17,language
254,Ludwig Wittgenstein_2 The Early Wittgenstein.txt,propositions-36,wittgenstein-21,tractatus-20,world-17,logical-17,language
255,"Logic and Artificial Intelligence_9 Logical Approaches to Natural Language and 
Communication.txt",linguistic-11,logic-8,reasoning-7,information-7,discourse-7,language
256,The Frege Hilbert Controversy_3 FregeBackground And Initial Differences.txt,consistency-19,frege-15,sentences-15,thoughts-13,hilbert-11,language
257,Tarskis Truth Definitions_1 The 1933 programme and the semantic conception.txt,definition-19,truth-13,metalanguage-13,language-12,set-12,language
258,Descriptions_8 Conclusion.txt,russell-3,natural-2,language-2,constructions-2,languages-2,language
259,Wittgensteins Philosophy of Mathematics_3 The Later Wittgenstein on Mathematics Some Preliminaries.txt,wittgenstein-91,rfm-80,mathematical-61,proposition-45,mathematics-37,language
260,Medieval Theories  Properties of Terms_4 Ampliation and Restriction.txt,white-24,black-11,true-9,proposition-7,thing-7,language
261,Singular Propositions_6 Temporal Problems for Singular Propositions.txt,propositions-6,singular-5,exist-5,proposition-5,constituent-5,language
262,Ancient Logic_2 Aristotle.txt,aristotle-30,sentences-20,syllogisms-20,term-12,logic-11,language
263,Propositions_5 Linguistic Problems.txt,argument-13,common-8,one-4,propositions-4,sentences-4,language
264,Logical Form_6 Regimentation and Communicative Slack.txt,language-24,sentences-19,logical-15,propositions-12,natural-12,language
265,Ancient Logic_6 Epicurus and the Epicureans.txt,epicureans-5,usener-5,utterances-5,logic-3,language-3,language
266,Propositional Attitude Reports_1 Freges Puzzle.txt,lois-14,would-10,true-9,sentences-8,propositional-7,language
267,Logical Form_8 Transformational Grammar.txt,structure-25,grammatical-22,logical-12,form-12,language-12,language
268,Skepticism_3 The Argument for Cartesian Skepticism Employing the Closure Principle.txt,believing-73,skeptical-50,justified-50,evidence-49,proposition-43,language
269,Propositional Function_5 The Emergence of Propositional Functions.txt,propositional-9,propositions-8,function-7,socrates-7,russell-6,language
270,Medieval Theories of the Syllogism_8 John Buridan.txt,buridan-18,terms-18,figure-15,syllogistic-14,sentences-14,language
271,Moral Cognitivism vs  Non Cognitivism_5 Can The CognitivistNoncognitivist Distinction Be Sustained.txt,moral-18,noncognitivism-15,truth-14,sentences-13,conditions-12,language
272,Gottlob Frege_3 Freges Philosophy of Language.txt,sense-30,sentence-28,twain-25,frege-24,true-23,language
273,Wittgensteins Philosophy of Mathematics_1 Wittgenstein on Mathematics in the Tractatus.txt,propositions-27,mathematical-26,wittgenstein-21,proposition-20,equations-15,language
274,Alfred Tarski_3 Logical consequence.txt,tarski-41,logical-21,consequence-21,lar-20,sentence-18,language
275,Vagueness_8 Is All Vagueness Linguistic.txt,vagueness-18,vague-14,language-9,objects-7,music-7,language
276,The Identity Theory of Truth_5 Difficulties with the theory and possible solutions.txt,fact-82,socrates-59,proposition-51,true-47,identity-38,language
277,Propositional Attitude Reports_7 Denying the assumption of structuredpropositionalism.txt,account-38,one-21,utterance-21,sentence-20,sentences-19,language
278,Structured Propositions_3 Some Recent Accounts of Structured Propositions.txt,propositions-131,proposition-93,property-59,truth-55,relation-45,language
279,Medieval Theories of the Syllogism_5 The Early Commentators on the Prior Analytics.txt,kilwardby-23,per-22,subject-15,sentence-14,necessity-12,language
280,Skepticism_4 Contextualism.txt,true-19,proposition-18,believing-15,argument-14,justified-13,language
281,Singular Propositions_1 Fregeanism and Russellianism.txt,thought-29,sense-24,russell-21,propositions-19,frege-16,language
282,The Frege Hilbert Controversy_4 The Deeper Disagreement.txt,consistency-35,frege-30,thoughts-29,hilbert-23,sentences-23,language
283,Logical Form_9 Semantic Structure and Events.txt,form-15,sentences-14,logical-13,like-12,natural-10,language
284,Logical Empiricism_4 Issues.txt,carnap-62,would-38,science-36,probability-33,sentences-29,language
285,Propositions_3 Roles for Propositions Semantics.txt,propositions-4,possible-4,maximal-3,consistent-3,would-2,language
286,Intentionality_5 True negative existential beliefs.txt,one-16,true-11,pegasus-11,exist-10,proposition-8,language
287,Rudolf Carnap_8 Inductive Logic and the ReEmergence of the Theoretical Language.txt,carnap-37,theoretical-26,inductive-18,language-18,logic-16,language
288,John Buridan_3 Language.txt,buridan-11,logic-8,discourse-8,propositions-8,philosophy-7,language
289,Bernard Bolzano_9 Metaphysics.txt,bolzano-17,time-14,proposition-8,cajus-8,real-6,language
290,Medieval Theories of the Syllogism_2 Boethius.txt,sentences-18,hypothetical-17,boethius-15,syllogism-14,logic-12,language
291,Logical Form_1 Patterns of Reason.txt,propositions-18,first-14,every-13,inferences-10,valid-10,language
292,Private Language_1 Overview Wittgensteins Argument and its Interpretations.txt,language-31,private-26,philosophical-24,wittgenstein-16,one-14,language
293,Religious Language_2 The Content of Religious Utterances.txt,religious-81,language-29,statements-27,theory-24,god-20,language
294,The Frege Hilbert Controversy_6 Conclusion.txt,consistency-12,hilbert-12,sentences-11,independence-10,frege-8,language
295,John Buridan_4 Logic.txt,proposition-46,true-29,false-24,buridan-23,terms-20,language
296,Ontological Commitment_4 Ontological Commitment in Ordinary Language.txt,ontological-50,language-48,ordinary-47,commitment-38,paraphrase-28,language
297,Rudolf Carnap_4 The Road to Syntax.txt,language-27,carnap-13,new-13,syntax-8,sentences-7,language
298,Logical Form_10 Further Questions.txt,logical-5,questions-4,claims-4,form-3,sentence-3,language
299,Otto Neurath_2 From economic theory to scientific epistemology.txt,language-31,neurath-21,social-21,scientific-13,argument-11,language
300,Medieval Theories of the Syllogism_6 Richard of Campsall.txt,modal-22,sentences-17,campsall-15,divided-10,composite-8,language
301,Propositional Attitude Reports_4 The Naive Russellian theory.txt,belief-32,proposition-24,believes-23,russell-22,thought-20,language
302,William of Ockham_3 Logic and Semantics.txt,terms-39,language-31,part-27,ockham-24,mental-23,language
303,Rudolf Carnap_5 Logical Syntax of Language.txt,carnap-26,syntax-20,logical-16,language-14,tolerance-12,language
304,Wittgensteins Aesthetics_1 The Critique of Traditional Aesthetics.txt,aesthetic-32,wittgenstein-21,language-12,would-10,word-10,language
305,George Edward Moore_4 Philosophical Analysis.txt,moore-18,logical-14,propositions-12,analysis-11,russell-7,language
306,Descriptions_2 Russells Theory of Descriptions.txt,form-4,sentence-3,description-3,claim-3,idea-2,language
307,Religious Language_4 Religious Minimalism.txt,religious-57,discourse-25,truth-23,different-19,wittgenstein-16,language
308,Reference_6 Negative Views of Reference.txt,reference-17,might-12,language-9,words-9,refer-8,language
309,Wittgensteins Logical Atomism_2 Linguistic Atomism.txt,analysis-28,proposition-21,wittgenstein-15,one-13,complex-11,language
310,Moritz Schlick_8 The Protocol Sentence Controversy.txt,carnap-9,language-7,schlick-7,affirmations-7,analysis-6,language
311,Logical Constructions_8 Propositions and Propositional Functions.txt,propositional-21,propositions-20,functions-18,russell-14,theory-12,language
312,Model Theory_4 Expressive strength.txt,firstorder-14,language-11,reducible-8,logic-8,mathbbr-8,language
313,Wittgensteins Logical Atomism_3 Metaphysical Atomism.txt,world-25,respect-17,sentence-17,proposition-16,substance-15,language
314,Medieval Theories of the Syllogism_4 Peter Abelard.txt,modal-38,sentences-25,abelard-18,rules-16,sentence-15,language
315,Rudolf Carnap_1 General Characterization of Carnaps Philosophy.txt,carnap-55,language-44,scientific-31,frameworks-26,logical-23,language
316,The Deflationary Theory of Truth_1 History of Deflationism.txt,truth-12,true-9,sentence-6,shakespeare-5,caesar-4,language
317,Mental Representation in Medieval Philosophy_6 William Ockham and Mental Language.txt,concept-7,mental-6,theory-4,language-3,representation-3,language
318,Classical Logic_1 Introduction.txt,language-22,formal-16,reasoning-16,natural-13,correct-10,language
319,Logical Form_ 2 Propositions and Traditional Grammar.txt,propositions-11,like-8,sentences-8,proposition-7,star-7,language
320,Wittgensteins Logical Atomism_4 The Epistemology of Logical Atomism.txt,wittgenstein-16,objects-12,tractarian-9,propositions-9,analysis-9,language
321,Intentionality_1 Why is intentionality socalled.txt,mental-14,states-14,intentionality-13,word-7,true-7,language
322,Carl Hempel_2 The Critique of Logical Positivism.txt,hempel-20,sentences-20,logical-19,would-18,properties-14,language
323,Private Language_3 The Private Language Argument Expounded.txt,private-47,language-32,one-27,argument-25,meaning-23,language
324,Rudolf Carnap_6 Semantics and Modality.txt,carnap-34,semantics-30,language-16,intensional-14,rules-13,language
325,Singular Propositions_7 Conclusion.txt,propositions-4,difficulties-4,singular-3,reasons-2,metaphysical-2,language
326,Russells Logical Atomism_1 Introduction.txt,logical-14,atomism-12,atomic-10,russell-9,propositions-7,language
327,Religious Language_5 Reference and Logic.txt,see-7,language-6,god-6,true-5,knows-5,language
328,Propositional Function_8 What is a Propositional Function in Russell.txt,propositional-13,functions-9,russell-7,propositions-6,interpretation-5,language
329,Propositions_4 Arguments for Propositions.txt,would-12,believes-11,propositions-9,john-9,true-8,language
330,Ludwig Wittgenstein_3 The Later Wittgenstein.txt,language-27,wittgenstein-25,philosophical-19,philosophy-18,tractatus-13,language
331,Otto Neurath_3 Neuraths place in logical empiricism physicalism antifoundationalism holism naturalism externalism pragmatism.txt,neurath-57,knowledge-42,language-39,scientific-37,statements-37,language
332,Propositions_9 Propositions Facts and States of Affairs.txt,propositions-24,proposition-17,identity-12,constituents-10,structured-9,language
333,Reference_1 Introduction.txt,terms-14,reference-11,refer-6,words-6,things-5,language
334,Propositional Function_11 Categorial Grammar.txt,type-19,categorial-8,sentence-8,expression-7,function-7,language
335,Propositional Function_4 Fregean Functions and Concepts.txt,frege-12,sense-9,functions-8,sentence-8,asleep-8,language
336,Alfred Tarski_2 Truth.txt,tarski-52,language-26,truth-23,theory-22,lgtc-20,language
337,Willard Van Orman Quine_4 Quinean Epistemology.txt,quine-35,sentences-32,observation-28,assent-27,sentence-22,language
338,Wittgensteins Philosophy of Mathematics_2 The Middle Wittgensteins Finitistic Constructivism.txt,mathematical-101,wittgenstein-76,infinite-62,proposition-57,numbers-46,language
339,Moral Cognitivism vs  Non Cognitivism_6 Conclusion.txt,moral-4,claim-4,rather-2,realist-2,discourse-2,language
340,Propositions_8 The Individuation of Propositions.txt,propositions-90,world-55,proposition-45,true-45,one-36,language
341,A Priori Justification and Knowledge_1 Examples that illustrate the difference between a priori and a posteriori empirical justification.txt,justified-11,priori-5,justification-5,posteriori-5,proposition-5,language
342,Bernard Bolzano_3 Logic.txt,proposition-100,ideas-88,bolzano-82,propositions-72,true-65,language
343,Logical Form_4 Frege and Formal Language.txt,frege-23,propositions-23,proposition-22,function-19,individual-16,language
344,Propositions_6 The Metaphysics 101 Argument  Deep or Shallow.txt,propositions-21,verbs-15,analysis-14,relational-13,attitude-13,language
345,Singular Propositions_5 Modal Problems for Singular Propositions.txt,true-32,proposition-22,bush-22,world-16,exists-16,language
346,Structured Propositions_1 Setting Up the Problems.txt,proposition-44,semantic-31,sentence-27,values-23,propositions-22,language
347,Medieval Theories of the Syllogism_1 Aristotles Theory.txt,aristotle-23,syllogisms-22,sentences-19,modal-15,valid-14,language
348,Concepts_4 Concepts and natural language.txt,concepts-17,language-17,linguistic-12,nonlinguistic-10,animals-10,language
349,Structured Propositions_2 From Possible Worlds to Structured Propositions.txt,possible-44,worlds-41,proposition-29,propositions-29,expressions-21,language
350,Connectionism_3 Samples of What Neural Networks Can Do.txt,training-13,verbs-11,english-10,set-9,nets-9,language
351,Propositional Function_7 Propositional Functions in Ramified Type Theory.txt,theory-13,true-10,propositions-10,types-8,proposition-8,language
352,Facts_2 Formal Theories of Facts.txt,facts-153,fact-69,true-61,set-60,proposition-52,language
353,Moral Cognitivism vs  Non Cognitivism_1 A More Detailed General Description.txt,moral-23,express-16,sentences-13,one-10,truth-9,language
354,Moral Cognitivism vs  Non Cognitivism_4 Problems Objections and Response Strategies.txt,moral-42,one-35,attitudes-30,sentences-24,noncognitivists-21,language
355,Private Language_4 Kripkes Sceptical Wittgenstein.txt,language-12,wittgenstein-11,private-9,meaning-8,kripke-8,language
356,Donald Davidson_3 Meaning and Truth.txt,theory-82,meaning-57,language-43,davidson-27,truth-27,language
357,Bernard Bolzano_4 Epistemology and Philosophy of Science.txt,bolzano-48,subjective-42,proposition-35,propositions-31,idea-30,language
358,Skepticism_2 Two Basic Forms of Philosophical Skepticism.txt,respect-27,proposition-25,skepticism-22,judgment-19,justified-17,language
359,Logical Form_5 Descriptions and Analysis.txt,proposition-16,boy-14,propositions-14,russell-13,logical-11,language
360,Private Language_2 The Significance of the Issue.txt,language-24,private-23,argument-15,name-13,tractatus-13,language
361,Singular Propositions_2 Reasons for Singular Propositions The modal argument.txt,propositions-20,paul-18,expressed-15,argument-11,property-11,language
362,Self Knowledge_1 The Distinctiveness of SelfKnowledge.txt,states-27,mental-19,selfknowledge-18,one-15,thesis-11,mind
363,Neutral Monism_1 Neutrality.txt,neutral-53,entities-23,mental-20,monism-18,physical-16,mind
364,Physicalism_14 The Case Against Physicalism I Qualia and Consciousness.txt,physicalism-12,argument-12,mary-10,physical-10,know-8,mind
365,Descartes Epistemology_2 The Methods Foundationalism and Doubt.txt,doubt-40,descartes-27,method-19,knowledge-16,first-16,mind
366,Logic and Artificial Intelligence_8 Towards a Formalization of Common Sense.txt,formalization-20,sense-18,common-17,reasoning-13,knowledge-9,mind
367,Phenomenal Intentionality_1 Introduction.txt,intentionality-20,phenomenal-18,states-10,theory-9,consciousness-8,mind
368,States of Affairs_2 Thoughts and States of Affairs.txt,affairs-101,possible-56,states-54,state-48,thoughts-29,mind
369,Concepts_1 The ontology of concepts.txt,mental-46,view-35,concepts-32,representations-28,representation-17,mind
370,Intentionality_9 Can intentionality be naturalized.txt,intentionality-29,intentional-23,one-17,mental-16,see-15,mind
371,Mental Representation in Medieval Philosophy_3 Peter Olivi and the Rejection of Formal Sameness.txt,species-22,theory-10,object-8,cognition-7,olivi-7,mind
372,Propositions_2 Roles for Propositions Modality.txt,propositions-17,sense-13,thought-12,false-10,frege-9,mind
373,Eliminative Materialism_5 Concluding Comments.txt,eliminative-9,materialism-9,mind-7,account-5,theory-5,mind
374,Skepticism_1 Knowledge Justification and Skepticism.txt,know-13,skepticism-12,even-11,proposition-9,justified-9,mind
375,Epistemological Problems of Perception_2 Metaphysical Solutions to the Central Problem.txt,perceptual-45,objects-41,perception-40,direct-35,experience-29,mind
376,Eliminative Materialism_2 Contemporary Eliminative Materialism.txt,mental-26,states-22,folk-20,eliminative-19,psychology-19,mind
377,Cognitive Science_3 Representation and Computation.txt,cognitive-9,mind-7,science-6,brain-5,thinking-4,mind
378,Metaethics_4 IsOught and the Open Question Argument.txt,moral-49,thinking-26,properties-24,thought-19,one-19,mind
379,Consciousness_5 The explanatory question How can consciousness exist.txt,consciousness-33,one-21,might-13,question-11,physical-11,mind
380,Immanuel Kant_2 Kants project in the Critique of Pure Reason.txt,world-37,priori-30,kant-23,knowledge-22,human-22,mind
381,Neutral Monism_5 Contemporary Versions of Neutral Monism.txt,neutral-48,properties-47,physical-43,mental-38,monism-32,mind
382,The Analysis of Knowledge_3 The Gettier Problem.txt,knowledge-8,cases-8,justified-7,true-7,belief-7,mind
383,Reasons for Action  Justification  Motivation  Explanation_3 Motivating and Explanatory Reasons.txt,reason-144,reasons-108,motivating-60,fact-59,mental-38,mind
384,Singular Propositions_3 Reasons for Singular Propositions The argument from indexicals and demonstratives.txt,belief-27,day-25,thought-23,perry-22,sense-22,mind
385,Knowledge by Acquaintance vs  Description_8 Concluding Remarks.txt,acquaintance-54,knowledge-17,acquainted-11,relation-9,one-8,mind
386,Cognitive Science_1 History.txt,mental-5,mind-3,psychology-3,around-3,explain-2,mind
387,Intentionality_10 Is intentionality exhibited by all mental phenomena.txt,mental-41,consciousness-39,phenomenal-30,intentionality-26,states-23,mind
388,Externalism About Mental Content_3 Responses to the Classic Arguments.txt,contents-17,content-15,thought-13,belief-12,experiments-10,mind
389,Sense Data_1  What Are Sense Data.txt,sense-29,data-24,aware-15,perception-12,things-9,mind
390,Folk Psychology as Mental Simulation_7 Conclusion.txt,mindreading-3,cognitive-3,philosophers-2,human-2,philosophical-2,mind
391,Folk Psychology as Mental Simulation_5 Simulation Theory and TheoryTheory.txt,mental-27,theory-23,simulation-19,states-18,mind-14,mind
392,Consciousness and Intentionality_8 Consciousness in Mind.txt,conscious-41,one-30,states-30,consciousness-27,state-25,mind
393,Donald Davidson_4 Knowledge and Belief.txt,davidson-29,knowledge-28,truth-27,attitudes-25,idea-22,mind
394,Moritz Schlick_3 Early Epistemology.txt,schlick-16,concepts-9,scientific-8,knowledge-8,truth-6,mind
395,Consciousness_7 Theories of consciousness.txt,theories-7,consciousness-4,specific-3,many-2,sorts-2,mind
396,The Frege Hilbert Controversy_3 FregeBackground And Initial Differences.txt,consistency-19,frege-15,sentences-15,thoughts-13,hilbert-11,mind
397,A Priori Justification and Knowledge_2 What sorts of propositions can be a priori justified and known all and only modal propositions.txt,priori-19,world-13,true-11,contingent-11,know-9,mind
398,Connectionism_4 Strengths and Weaknesses of Neural Network Models.txt,neural-8,brain-6,models-6,kind-5,networks-4,mind
399,The Computational Theory of Mind_7 Arguments against computationalism.txt,computational-19,physical-16,model-15,temporal-14,mental-12,mind
400,The Problem of Perception_3 Theories of Experience.txt,experience-153,one-77,perception-62,see-61,sensedatum-59,mind
401,Other Minds_1 The Traditional Epistemological Problem.txt,one-60,knowledge-59,behavior-44,mind-41,minds-38,mind
402,Embodied Cognition_6 Sharper Divides Over Embodied Cognition.txt,cognition-38,cognitive-34,embodied-31,extended-26,science-23,mind
403,Folk Psychology as Mental Simulation_2 What is Meant by Mental Simulation.txt,mental-95,simulation-73,visual-55,cognitive-43,state-31,mind
404,Bernard Bolzano_12 Metaphilosophy and History of Philosophy.txt,philosophy-6,bolzano-5,concept-3,philosophizing-3,knowledge-2,mind
405,Externalism About Mental Content_4 The Scope of Externalism.txt,states-13,content-12,mental-11,contents-10,thoughts-9,mind
406,Intentionality_3 The relational nature of singular thoughts.txt,concrete-13,thoughts-12,singular-12,belief-11,relations-9,mind
407,The Philosophy of Neuroscience_4 Consciousness Explained.txt,consciousness-16,experience-13,conscious-11,color-10,one-8,mind
408,Eliminative Materialism_1 A Brief History.txt,mental-23,states-15,eliminative-14,materialism-11,commonsense-9,mind
409,Descartes Epistemology_4 The Cogito and Doubt.txt,doubt-48,cogito-43,descartes-34,knowledge-21,thinking-17,mind
410,Physicalism_4 Supervenience Physicalism Further Issues.txt,physicalism-38,world-37,problem-20,physical-19,mental-14,mind
411,Behaviorism_2 Three Types of Behaviorism.txt,behaviorism-9,psychology-5,behavior-5,mental-5,states-5,mind
412,Other Minds_4 Thinking about Mind Prior to the Twentieth Century.txt,others-22,work-16,one-12,mind-10,find-10,mind
413,William of Ockham_6 Theory of Knowledge.txt,cognition-16,theory-10,intuitive-10,species-9,abstractive-9,mind
414,Mental Imagery_3 Imagery in the Age of Scientific Psychology.txt,imagery-40,mental-29,thought-22,psychology-19,images-16,mind
415,Mental Representation_9 Thought and Language.txt,properties-13,mental-8,democracy-8,dying-8,semantic-7,mind
416,Descartes Epistemology_1 Conception of Knowledge.txt,knowledge-19,ideas-18,descartes-14,see-13,perfect-12,mind
417,Folk Psychology as Mental Simulation_6 Simulation Theory Pros and Cons.txt,mental-25,mindreading-16,states-16,false-15,goldman-12,mind
418,Causal Theories of Mental Content_1 Introduction.txt,content-4,mental-3,attempt-2,explain-2,thoughts-2,mind
419,Alfred North Whitehead_8 Whiteheads Influence.txt,whitehead-18,process-13,thought-7,whiteheadian-7,philosophical-6,mind
420,Knowledge by Acquaintance vs  Description_4 Acquaintance Thought and A Priori Knowledge.txt,thought-14,knowledge-10,acquaintance-9,acquainted-8,truth-6,mind
421,The Analysis of Knowledge_8 Epistemic Luck.txt,luck-12,knowledge-7,condition-7,analysis-5,epistemic-4,mind
422,Embodied Cognition_1 Embodied vs Traditional Cognitive Science.txt,cognitive-19,cognition-16,science-12,embodied-9,processing-4,mind
423,The Analysis of Knowledge_12 Pragmatic Encroachment.txt,knowledge-19,pragmatic-14,encroachment-13,important-11,bank-6,mind
424,Intentionality_8 Is intensionality a criterion of intentionality.txt,reports-20,intentionality-16,intentional-14,intensionality-11,knowledge-11,mind
425,Ren Descartes_3 A New Metaphysics.txt,descartes-73,mind-42,god-41,senses-37,intellect-27,mind
426,Embodied Cognition_4 Embodiment vs Tradition on Three Issues.txt,cognitive-47,embodied-30,cognition-30,body-24,alia-22,mind
427,Physicalism_5 Supervenience Physicalism as Minimal Physicalism.txt,physicalism-16,states-12,philosophy-8,mind-8,psychological-6,mind
428,Consciousness_3 Problems of Consciousness.txt,consciousness-6,questions-5,one-5,three-3,features-3,mind
429,The Analysis of Knowledge_6 Doing Without Justification.txt,knowledge-16,justification-15,theory-12,kreliabilism-9,causal-8,mind
430,Alfred Jules Ayer_5 Knowledge.txt,knowledge-9,ayer-6,case-6,sure-5,right-5,mind
431,Consciousness_6 The functional question Why does consciousness exist.txt,consciousness-45,conscious-28,may-14,one-12,states-12,mind
432,Cognitive Science_5 Philosophical Relevance.txt,cognitive-15,science-15,neural-11,computational-8,philosophical-8,mind
433,Mental Imagery_1 Meanings and Connotations of Mental Imagery.txt,imagery-63,mental-26,experience-16,may-13,however-12,mind
434,Plato_10 Does Plato change his mind about politics.txt,plato-11,works-6,must-5,mind-5,world-5,mind
435,Neutral Monism_8 Neutral Monism and Other Doctrines.txt,neutral-74,monism-46,physical-35,mental-25,events-25,mind
436,Consciousness and Intentionality_4 Intentionality and the Analytic Heritage.txt,consciousness-58,experience-45,husserl-40,object-31,intentionality-29,mind
437,Behaviorism_3 Roots of Behaviorism.txt,behaviorism-19,behavior-11,psychological-10,analytical-9,mental-8,mind
438,Causal Theories of Mental Content_5 Concluding Remarks.txt,one-4,mental-3,causal-3,theories-3,representations-2,mind
439,Causal Theories of Mental Content_4 General Objections to Causal Theories of Mental Content.txt,causal-54,mental-41,theories-29,theory-27,content-26,mind
440,Singular Propositions_1 Fregeanism and Russellianism.txt,thought-29,sense-24,russell-21,propositions-19,frege-16,mind
441,The Language of Thought Hypothesis_1 Mental Language.txt,mental-61,representations-26,propositional-17,fodor-17,complex-16,mind
442,Phenomenal Intentionality_6 Challenges for PIT.txt,states-70,intentional-43,phenomenal-31,thoughts-25,content-25,mind
443,The Frege Hilbert Controversy_4 The Deeper Disagreement.txt,consistency-35,frege-30,thoughts-29,hilbert-23,sentences-23,mind
444,Mental Representation in Medieval Philosophy_2 Thomas Aquinas and Formal Sameness.txt,aquinas-8,thought-7,species-6,intellect-6,form-5,mind
445,Knowledge by Acquaintance vs  Description_3 Acquaintance and Noninferential Knowledge.txt,belief-33,acquaintance-32,knowledge-23,beliefs-23,fact-23,mind
446,Consciousness_9 Specific Theories of Consciousness.txt,consciousness-55,theories-43,conscious-39,states-27,higherorder-24,mind
447,The Computational Theory of Mind_3 The classical computational theory of mind.txt,mental-36,states-27,machine-23,mentalese-21,cctm-19,mind
448,The Computational Theory of Mind_5 Computation and representation.txt,content-52,mental-46,intentional-44,syntactic-42,formal-41,mind
449,Connectionism_6 Connectionist Representation.txt,representations-23,representation-14,distributed-11,connectionist-8,brain-8,mind
450,The Language of Thought Hypothesis_7 Naturalizing the Mind.txt,mental-10,properties-10,semantic-10,intentionality-10,loth-8,mind
451,A Priori Justification and Knowledge_7 Even if intuitions can justify can they yield knowledge of the external world.txt,concepts-20,world-14,priori-12,knowledge-11,grounded-11,mind
452,Certainty_3 Two dimensions of certainty.txt,clear-13,descartes-12,know-11,see-10,certainty-9,mind
453,Singular Propositions_4 Reasons for Singular Propositions The reduplication argument.txt,bill-44,sally-22,identification-20,thought-18,directly-14,mind
454,The Analysis of Knowledge_9 Methodological Options.txt,knowledge-9,role-5,craig-3,intuitive-3,one-2,mind
455,Epistemology_1 The Varieties of Cognitive Success.txt,success-74,cognitive-66,particular-29,kinds-24,instance-24,mind
456,Ernst Mach_3 Psychology and the Life Sciences.txt,mach-23,evolutionary-15,perception-11,theory-8,process-8,mind
457,Behaviorism_5 Why be a Behaviorist.txt,behavior-28,skinner-16,mental-10,inner-10,see-9,mind
458,Propositional Attitude Reports_4 The Naive Russellian theory.txt,belief-32,proposition-24,believes-23,russell-22,thought-20,mind
459,William of Ockham_3 Logic and Semantics.txt,terms-39,language-31,part-27,ockham-24,mental-23,mind
460,Externalism About Mental Content_9 Active Externalism.txt,part-11,cognitive-11,notebook-9,might-9,external-7,mind
461,Moral Non Naturalism_3 Intuitionism.txt,properties-33,moral-31,nonnatural-14,knowledge-11,know-8,mind
462,Epistemology_5 Sources of Knowledge and Justification.txt,knowledge-34,perceptual-25,priori-19,one-18,introspection-17,mind
463,Externalism About Mental Content_6 Externalism and Selfknowledge.txt,externalism-27,one-16,content-16,selfknowledge-15,thoughts-14,mind
464,The Philosophy of Neuroscience_2 Eliminative Materialism and Philosophy Neuralized.txt,folk-19,vector-18,neural-18,pain-18,churchland-17,mind
465,Thomas Reid_3 Perception and Knowledge of the World.txt,reid-78,objects-56,ideas-55,qualities-45,perception-37,mind
